State,Rank,Make/Model,Model Year,Thefts
Illinois,2,Chevrolet Impala,2008, 579 
Illinois,3,Honda Civic,2000, 566 
Illinois,4,Honda Accord,1997, 481 
Illinois,5,Chevrolet Malibu,2011, 442 
Illinois,6,Chevrolet Pickup (Full Size),1999, 418 
Illinois,7,Ford Pickup (Full Size),2006, 392 
Illinois,8,Toyota Camry,2014, 383 
Illinois,9,Jeep Cherokee/Grand Cherokee,2000, 374 
Illinois,10,Nissan Altima,2014, 326 
Indiana,1,Ford Pickup (Full Size),2005, 659 
Indiana,2,Chevrolet Pickup (Full Size),1994, 619 
Indiana,3,Chevrolet Impala,2004, 423 
Indiana,4,Dodge Pickup (Full Size),2001, 263 
Indiana,5,Chevrolet Malibu,2005, 238 
Indiana,6,GMC Pickup (Full Size),1995, 192 
Indiana,7,Honda Accord,1994, 186 
Indiana,7,Chevrolet Pickup (Small Size),1998, 186 
Indiana,8,Pontiac Grand Prix,2004, 183 
Indiana,9,Ford Taurus,2003, 182 
Iowa,1,Chevrolet Pickup (Full Size),2002, 258 
Iowa,2,Ford Pickup (Full Size),2001, 198 
Iowa,3,Chevrolet Impala,2005, 101 
Iowa,4,Dodge Pickup (Full Size),2004, 93 
Iowa,5,Ford Taurus,2003, 77 
Iowa,6,Jeep Cherokee/Grand Cherokee,2005, 65 
Iowa,7,GMC Pickup (Full Size),2007, 60 
Iowa,8,Toyota Camry,1997, 59 
Iowa,9,Dodge Caravan,2005, 56 
Iowa,9,Pontiac Grand Prix,1999, 56 
Kansas,1,Chevrolet Pickup (Full Size),1999, 439 
Kansas,2,Ford Pickup (Full Size),2003, 415 
Kansas,3,Honda Accord,1996, 319 
Kansas,4,Honda Civic,2000, 220 
Kansas,5,Dodge Pickup (Full Size),2001, 160 
Kansas,6,GMC Pickup (Full Size),1999, 113 
Kansas,7,Chevrolet Impala,2004, 98 
Kansas,8,Dodge Caravan,2002, 89 
Kansas,8,Jeep Cherokee/Grand Cherokee,2000, 89 
Kansas,9,Chevrolet Pickup (Small Size),1998, 88 
Kentucky,1,Chevrolet Pickup (Full Size),1998, 250 
Kentucky,2,Ford Pickup (Full Size),2001, 241 
Kentucky,3,Toyota Camry,1999, 178 
Kentucky,4,Chevrolet Impala,2005, 118 
Kentucky,5,Toyota Corolla,2014, 110 
Kentucky,6,Honda Accord,1997, 108 
Kentucky,7,Ford Explorer,2000, 99 
Kentucky,8,Ford Taurus,2002, 94 
Kentucky,9,Dodge Pickup (Full Size),2001, 93 
Kentucky,10,Chevrolet Pickup (Small Size),2000, 79 
Louisiana,1,Chevrolet Pickup (Full Size),2006, 671 
Louisiana,2,Ford Pickup (Full Size),2006, 584 
Louisiana,3,GMC Pickup (Full Size),2006, 253 
Louisiana,4,Toyota Camry,2007, 224 
Louisiana,5,Dodge Pickup (Full Size),2003, 222 
Louisiana,6,Nissan Altima,2014, 215 
Louisiana,7,Honda Accord,2008, 209 
Louisiana,8,Chevrolet Impala,2008, 177 
Louisiana,9,GMC Yukon,2003, 125 
Louisiana,10,Chevrolet Tahoe,2007, 114 
Maine,1,Chevrolet Pickup (Full Size),2001, 29 
Maine,2,GMC Pickup (Full Size),1993, 26 
Maine,3,Jeep Cherokee/Grand Cherokee,2004, 18 
Maine,4,Ford Pickup (Full Size),2004, 15 
Maine,5,Toyota Corolla,2009, 13 
Maine,5,Toyota Camry,1996, 13 
Maine,6,Honda Civic,2009, 11 
Maine,7,Chevrolet Impala,2000, 8 
Maine,7,Ford Focus,2001, 8 
Maine,8,Chevrolet Cobalt,2005, 7 
Maryland,1,Dodge Caravan,2003, 727 
Maryland,2,Honda Accord,2008, 675 
Maryland,3,Toyota Camry,2014, 347 
Maryland,4,Honda Civic,2012, 313 
Maryland,5,Ford Pickup (Full Size),2004, 287 
Maryland,6,Nissan Altima,2013, 230 
Maryland,7,Toyota Corolla,2014, 204 
Maryland,8,Jeep Cherokee/Grand Cherokee,2015, 194 
Maryland,9,Chevrolet Pickup (Full Size),1999, 192 
Maryland,10,Hyundai Sonata,2013, 169 
Massachusetts,1,Honda Civic,2000, 426 
Massachusetts,2,Honda Accord,1997, 402 
Massachusetts,3,Toyota Camry,2014, 260 
Massachusetts,4,Toyota Corolla,2010, 203 
Massachusetts,5,Dodge Caravan,2005, 188 
Massachusetts,6,Ford Pickup (Full Size),2004, 178 
Massachusetts,7,Nissan Altima,2005, 156 
Massachusetts,8,Jeep Cherokee/Grand Cherokee,1999, 143 
Massachusetts,9,Honda CR-V,1999, 107 
Massachusetts,10,Chevrolet Pickup (Full Size),2015, 95 
Michigan,1,Chevrolet Impala,2008, 733 
Michigan,2,Chevrolet Pickup (Full Size),1999, 585 
Michigan,3,Ford Pickup (Full Size),2006, 530 
Michigan,4,Dodge Caravan,2003, 528 
Michigan,5,Dodge Charger,2015, 477 
Michigan,6,Chevrolet Trailblazer,2007, 462 
Michigan,7,Chevrolet Malibu,2013, 451 
Michigan,8,Pontiac Grand Prix,2004, 418 
Michigan,9,Jeep Cherokee/Grand Cherokee,2000, 407 
Michigan,10,Ford Fusion,2014, 355 
Minnesota,1,Honda Civic,1998, 676 
Minnesota,2,Honda Accord,1997, 524 
Minnesota,3,Chevrolet Pickup (Full Size),1999, 329 
Minnesota,4,Ford Pickup (Full Size),2005, 246 
Minnesota,5,Toyota Camry,1999, 214 
Minnesota,6,Honda CR-V,1999, 190 
Minnesota,7,Chevrolet Impala,2004, 171 
Minnesota,8,Dodge Caravan,2003, 143 
Minnesota,9,Toyota Corolla,2010, 109 
Minnesota,10,Acura Integra,1996, 95 
Mississippi,1,Chevrolet Pickup (Full Size),1994, 286 
Mississippi,2,Ford Pickup (Full Size),2006, 278 
Mississippi,3,Nissan Altima,2015, 128 
Mississippi,4,Chevrolet Impala,2006, 114 
Mississippi,5,GMC Pickup (Full Size),2000, 103 
Mississippi,6,Toyota Camry,2014, 94 
Mississippi,7,Honda Accord,2007, 91 
Mississippi,8,Dodge Pickup (Full Size),2005, 85 
Mississippi,9,Chevrolet Malibu,2015, 73 
Mississippi,10,Chevrolet Tahoe,2005, 68 
Missouri,1,Ford Pickup (Full Size),2004, 880 
Missouri,2,Chevrolet Pickup (Full Size),2000, 783 
Missouri,3,Dodge Caravan,2003, 465 
Missouri,4,Dodge Pickup (Full Size),2001, 410 
Missouri,5,Chevrolet Impala,2008, 369 
Missouri,6,Jeep Cherokee/Grand Cherokee,1998, 289 
Missouri,7,Honda Accord,1997, 274 
Missouri,8,Ford Taurus,2002, 250 
Missouri,9,Chevrolet Malibu,2015, 243 
Missouri,10,Toyota Camry,2014, 236 
Montana,1,Chevrolet Pickup (Full Size),1999, 165 
Montana,2,Ford Pickup (Full Size),1995, 145 
Montana,3,Dodge Pickup (Full Size),2006, 78 
Montana,4,GMC Pickup (Full Size),2008, 55 
Montana,5,Honda Accord,1994, 52 
Montana,6,Chevrolet Impala,2001, 31 
Montana,7,Ford Explorer,1996, 27 
Montana,8,Chevrolet Pickup (Small Size),1995, 24 
Montana,9,Toyota Camry,2015, 23 
Montana,10,Ford Pickup (Small Size),2000, 22 
Nebraska,1,Chevrolet Pickup (Full Size),1996, 196 
Nebraska,2,Ford Pickup (Full Size),1999, 168 
Nebraska,3,Honda Civic,1997, 165 
Nebraska,4,Honda Accord,1996, 157 
Nebraska,5,Dodge Pickup (Full Size),2001, 102 
Nebraska,6,Jeep Cherokee/Grand Cherokee,1999, 70 
Nebraska,7,Chevrolet Impala,2006, 68 
Nebraska,8,GMC Pickup (Full Size),2015, 61 
Nebraska,9,Toyota Camry,2000, 49 
Nebraska,10,Chevrolet Pickup (Small Size),1998, 43 
Nevada,1,Honda Accord,1996," 1,048 "
Nevada,2,Honda Civic,1998," 1,011 "
Nevada,3,Chevrolet Pickup (Full Size),2006, 377 
Nevada,4,Ford Pickup (Full Size),2006, 279 
Nevada,5,Toyota Camry,2015, 254 
Nevada,6,Nissan Maxima,1997, 208 
Nevada,7,Nissan Altima,1997, 207 
Nevada,8,Nissan Sentra,2014, 200 
Nevada,9,Toyota Corolla,2014, 151 
Nevada,10,Dodge Pickup (Full Size),2005, 148 
New Hampshire,1,Honda Civic,1997, 34 
New Hampshire,2,Honda Accord,1996, 20 
New Hampshire,3,Chevrolet Pickup (Full Size),2002, 19 
New Hampshire,4,Ford Pickup (Full Size),2002, 17 
New Hampshire,5,Dodge Caravan,2003, 16 
New Hampshire,6,Ford Focus,2007, 14 
New Hampshire,7,Toyota Camry,1999, 13 
New Hampshire,8,Jeep Cherokee/Grand Cherokee,2000, 11 
New Hampshire,9,GMC Pickup (Full Size),2007, 9 
New Hampshire,9,Toyota Corolla,1999, 9 
New Jersey,1,Honda Accord,1997, 844 
New Jersey,2,Honda Civic,1998, 753 
New Jersey,3,Dodge Caravan,2002, 427 
New Jersey,4,Nissan Sentra,1998, 340 
New Jersey,5,Ford Pickup (Full Size),2006, 295 
New Jersey,6,Nissan Altima,2014, 291 
New Jersey,7,Jeep Cherokee/Grand Cherokee,2000, 286 
New Jersey,8,Toyota Camry,2014, 232 
New Jersey,9,Nissan Maxima,1998, 195 
New Jersey,10,Ford Econoline E350,2003, 184 
New Mexico,1,Honda Civic,1998, 572 
New Mexico,2,Ford Pickup (Full Size),2006, 557 
New Mexico,3,Honda Accord,1994, 545 
